"MAKEID","ODSID","NAME"
"20000001","20001","Acura"
"20000002","20002","Am General"
"20000003","20003","Aston Martin"
"20000004","20004","Austin-Healey"
"20000005","20005","BMW"
"20000006","20006","Buick"
"20000007","20007","Checker"
"20000008","20008","Chrysler"
"20000009","20009","Daewoo"
"20000010","20010","Datsun"
"20000011","20011","Delorean"
"20000012","20012","Dodge"
"20000013","20013","Edsel"
"20000014","20014","Ferrari"
"20000015","20015","Ford"
"20000016","20016","General Motors"
"20000017","20017","Honda"
"20000018","20018","Hummer"
"20000019","20019","INFINITI"
"20000020","20020","Isuzu"
"20000021","20021","Jeep"
"20000022","20022","Kaiser"
"20000023","20023","LaSalle"
"20000024","20024","Land Rover"
"20000025","20025","Lincoln"
"20000026","20026","MG"
"20000027","20027","Maybach"
"20000028","20028","Mercedes-Benz"
"20000029","20029","Merkur"
"20000030","20030","Mitsubishi"
"20000031","20031","Nash"
"20000032","20032","Oldsmobile"
"20000033","20033","Packard"
"20000034","20034","Peugeot"
"20000035","20035","Pontiac"
"20000036","20036","Qvale"
"20000037","20037","Rolls-Royce"
"20000038","20038","Saab"
"20000039","20039","Saturn"
"20000040","20040","Sterling"
"20000041","20041","Subaru"
"20000042","20042","Suzuki"
"20000043","20043","Triumph"
"20000044","20044","Volvo"
"20000045","20045","Yugo"
"20000046","20046","AC"
"20000047","20047","Alfa Romeo"
"20000048","20048","American Motors"
"20000049","20049","Audi"
"20000050","20050","Avanti Motors"
"20000051","20051","Bentley"
"20000052","20052","Cadillac"
"20000053","20053","Chevrolet"
"20000054","20054","Citroen"
"20000055","20055","Daihatsu"
"20000056","20056","DeTomaso"
"20000057","20057","Desoto"
"20000058","20058","Eagle"
"20000059","20059","Essex"
"20000060","20060","FIAT"
"20000061","20061","GMC"
"20000062","20062","Geo"
"20000063","20063","Hudson"
"20000064","20064","Hyundai"
"20000065","20065","International"
"20000066","20066","Jaguar"
"20000067","20067","Jensen"
"20000068","20068","Kia"
"20000069","20069","Lamborghini"
"20000070","20070","Lexus"
"20000071","20071","Lotus"
"20000072","20072","Maserati"
"20000073","20073","Mazda"
"20000074","20074","Mercury"
"20000075","20075","MINI"
"20000076","20076","Morgan"
"20000077","20077","Nissan"
"20000078","20078","Opel"
"20000079","20079","Panoz"
"20000080","20080","Plymouth"
"20000081","20081","Porsche"
"20000082","20082","Renault"
"20000083","20083","Rover"
"20000084","20084","Saleen"
"20000085","20085","Scion"
"20000086","20086","Studebaker"
"20000087","20087","Sunbeam"
"20000088","20088","Toyota"
"20000089","20089","Volkswagen"
"20000090","20090","Willys"
"20000091","20225","Morris"
"20000092","20226","Franklin"
"20000093","20227","Hupmobile"
"20000094","20228","smart"
"20000095","26021","Auburn"
"20000096","26561","Austin"
"20000097","28263","Tesla"
"20000098","33583","Bugatti"
"20000099","33584","Spyker"
"20000100","33663","Koenigsegg"
"20000101","40523","Lancia"
"20000102","41703","Fisker"
"20000103","42723","Delahaye"
"20000104","43423","THINK"
"20000105","44763","RAM"
"20000106","47903","McLaren"
"20000107","48264","SRT"
"20000108","53508","TVR"
"35354491","35354491","Genesis"
