"MAKEID","MODELID","ODSMAKEID","ODSMODELID"
"20000001","20000187","20001","21380"
"20000001","20000228","20001","21422"
"20000001","20000491","20001","21685"
"20000001","20000587","20001","21782"
"20000001","20000589","20001","21784"
"20000001","20000636","20001","21831"
"20000001","20000684","20001","21879"
"20000001","20001038","20001","22237"
"20000001","20001049","20001","22248"
"20000001","20001162","20001","22362"
"20000001","20001716","20001","20773"
"20000001","20002206","20001","21266"
"20000001","20002365","20001","32888"
"20000001","20002479","20001","47843"
"20000001","20002493","20001","48964"
"20000001","20002519","20001","51867"
"20000001","20002603","20001","57287"
"20000001","20002617","20001","58167"
"20000001","36306155","20001","36306155"
"20000002","20002175","20002","21235"
"20000003","20000182","20003","21375"
"20000003","20001048","20003","22247"
"20000003","20001054","20003","22253"
"20000003","20001067","20003","22266"
"20000003","20001083","20003","22282"
"20000003","20001086","20003","22285"
"20000003","20001148","20003","22347"
"20000003","20001889","20003","20947"
"20000003","20001891","20003","20949"
"20000003","20001893","20003","20951"
"20000003","20001895","20003","20953"
"20000003","20001897","20003","20955"
"20000003","20001898","20003","20956"
"20000003","20001899","20003","20957"
"20000003","20001900","20003","20958"
"20000003","20001902","20003","20960"
"20000003","20001903","20003","20961"
"20000003","20001909","20003","20967"
"20000003","20002263","20003","22397"
"20000003","20002407","20003","37363"
"20000003","20002425","20003","40743"
"20000003","20002462","20003","46643"
"20000003","20002466","20003","47110"
"20000003","20002543","20003","52728"
"20000003","20002549","20003","53259"
"20000003","20002615","20003","57988"
"20000003","30002548","20003","30002548"
"20000003","36298053","20003","36298053"
"20000004","20000900","20004","22098"
"20000004","20000902","20004","22100"
"20000004","20000985","20004","22184"
"20000004","20001175","20004","20229"
"20000004","20001177","20004","20231"
"20000004","20001183","20004","20237"
"20000004","20001184","20004","20238"
"20000004","20001336","20004","20390"
"20000004","20001359","20004","20414"
"20000004","20001361","20004","20416"
"20000005","20000129","20005","21321"
"20000005","20000160","20005","21352"
"20000005","20000195","20005","21388"
"20000005","20000199","20005","21392"
"20000005","20000203","20005","21396"
"20000005","20000226","20005","21420"
"20000005","20001111","20005","22310"
"20000005","20001113","20005","22312"
"20000005","20001134","20005","22333"
"20000005","20001135","20005","22334"
"20000005","20001223","20005","20277"
"20000005","20001227","20005","20281"
"20000005","20001238","20005","20292"
"20000005","20001250","20005","20304"
"20000005","20001252","20005","20306"
"20000005","20001266","20005","20320"
"20000005","20001267","20005","20321"
"20000005","20001275","20005","20329"
"20000005","20001302","20005","20356"
"20000005","20001306","20005","20360"
"20000005","20001323","20005","20377"
"20000005","20001332","20005","20386"
"20000005","20001335","20005","20389"
"20000005","20001352","20005","20406"
"20000005","20001353","20005","20408"
"20000005","20001354","20005","20409"
"20000005","20001356","20005","20411"
"20000005","20001379","20005","20434"
"20000005","20001381","20005","20436"
"20000005","20001384","20005","20439"
"20000005","20001387","20005","20442"
"20000005","20001388","20005","20443"
"20000005","20001389","20005","20444"
"20000005","20001390","20005","20445"
"20000005","20001399","20005","20454"
"20000005","20001401","20005","20456"
"20000005","20001415","20005","20470"
"20000005","20001416","20005","20471"
"20000005","20001420","20005","20475"
"20000005","20001426","20005","20481"
"20000005","20001430","20005","20485"
"20000005","20001432","20005","20487"
"20000005","20001433","20005","20488"
"20000005","20001439","20005","20494"
"20000005","20001440","20005","20495"
"20000005","20001441","20005","20496"
"20000005","20001443","20005","20498"
"20000005","20001445","20005","20500"
"20000005","20001447","20005","20502"
"20000005","20001456","20005","20511"
"20000005","20001458","20005","20513"
"20000005","20001460","20005","20515"
"20000005","20001467","20005","20522"
"20000005","20001468","20005","20523"
"20000005","20001469","20005","20524"
"20000005","20001475","20005","20530"
"20000005","20001477","20005","20532"
"20000005","20001478","20005","20533"
"20000005","20001479","20005","20534"
"20000005","20001481","20005","20536"
"20000005","20001483","20005","20538"
"20000005","20001484","20005","20539"
"20000005","20001491","20005","20546"
"20000005","20001507","20005","20562"
"20000005","20001570","20005","20625"
"20000005","20001635","20005","20692"
"20000005","20002210","20005","21270"
"20000005","20002244","20005","22378"
"20000005","20002261","20005","22395"
"20000005","20002262","20005","22396"
"20000005","20002364","20005","32885"
"20000005","20002366","20005","33023"
"20000005","20002387","20005","35050"
"20000005","20002391","20005","35923"
"20000005","20002404","20005","36963"
"20000005","20002416","20005","39483"
"20000005","20002447","20005","43243"
"20000005","20002482","20005","47944"
"20000005","20002485","20005","48064"
"20000005","20002486","20005","48263"
"20000005","20002500","20005","49763"
"20000005","20002502","20005","49843"
"20000005","20002503","20005","49923"
"20000005","20002533","20005","52547"
"20000005","20002557","20005","54409"
"20000005","20002558","20005","54410"
"20000005","20002568","20005","54807"
"20000005","20002570","20005","54811"
"20000005","20002571","20005","54812"
"20000005","20002579","20005","56067"
"20000005","20002580","20005","56068"
"20000005","20002582","20005","56127"
"20000005","20002583","20005","56187"
"20000005","20002584","20005","56207"
"20000005","20002598","20005","56907"
"20000005","20002600","20005","57267"
"20000005","20002601","20005","57268"
"20000005","20002602","20005","57269"
"20000005","30032858","20005","30032858"
"20000005","33763017","20005","33763017"
"20000005","33797688","20005","33797688"
