"MAKEID","MODELID","YEARID","ODSMAKEID","ODSMODELID","ODSYEARID"
"20000001","20000187","20002668","20001","21380","20134"
"20000001","20000187","20002669","20001","21380","20135"
"20000001","20000187","20002670","20001","21380","20136"
"20000001","20000187","20002671","20001","21380","20137"
"20000001","20000187","20002672","20001","21380","20138"
"20000001","20000187","20002724","20001","21380","20190"
"20000001","20000187","20002725","20001","21380","20191"
"20000001","20000187","20002726","20001","21380","20192"
"20000001","20000187","20002727","20001","21380","20193"
"20000001","20000187","20002728","20001","21380","20194"
"20000001","20000228","20002676","20001","21422","20142"
"20000001","20000228","20002677","20001","21422","20143"
"20000001","20000228","20002678","20001","21422","20144"
"20000001","20000228","20002679","20001","21422","20145"
"20000001","20000228","20002731","20001","21422","20197"
"20000001","20000228","20002732","20001","21422","20198"
"20000001","20000228","20002733","20001","21422","20199"
"20000001","20000228","20002734","20001","21422","20200"
"20000001","20000228","20002735","20001","21422","20201"
"20000001","20000228","20002736","20001","21422","27381"
"20000001","20000228","20002737","20001","21422","34923"
"20000001","20000228","20002738","20001","21422","39723"
"20000001","20000228","20002739","20001","21422","47272"
"20000001","20000228","20002740","20001","21422","51683"
"20000001","20000228","20002741","20001","21422","56007"
"20000001","20000228","20002742","20001","21422","58487"
"20000001","20000228","30031936","20001","21422","30031936"
"20000001","20000491","20002671","20001","21685","20137"
"20000001","20000491","20002672","20001","21685","20138"
"20000001","20000491","20002673","20001","21685","20139"
"20000001","20000491","20002674","20001","21685","20140"
"20000001","20000491","20002675","20001","21685","20141"
"20000001","20000491","20002676","20001","21685","20142"
"20000001","20000491","20002677","20001","21685","20143"
"20000001","20000491","20002726","20001","21685","20192"
"20000001","20000491","20002727","20001","21685","20193"
"20000001","20000491","20002728","20001","21685","20194"
"20000001","20000491","20002729","20001","21685","20195"
"20000001","20000491","20002730","20001","21685","20196"
"20000001","20000491","20002731","20001","21685","20197"
"20000001","20000491","20002732","20001","21685","20198"
"20000001","20000491","20002733","20001","21685","20199"
"20000001","20000491","30031936","20001","21685","30031936"
"20000001","20000587","20002673","20001","21782","20139"
"20000001","20000587","20002674","20001","21782","20140"
"20000001","20000587","20002675","20001","21782","20141"
"20000001","20000587","20002676","20001","21782","20142"
"20000001","20000587","20002677","20001","21782","20143"
"20000001","20000587","20002678","20001","21782","20144"
"20000001","20000587","20002679","20001","21782","20145"
"20000001","20000587","20002729","20001","21782","20195"
"20000001","20000587","20002730","20001","21782","20196"
"20000001","20000587","20002731","20001","21782","20197"
"20000001","20000587","20002732","20001","21782","20198"
"20000001","20000587","20002733","20001","21782","20199"
"20000001","20000587","20002734","20001","21782","20200"
"20000001","20000587","20002735","20001","21782","20201"
"20000001","20000587","20002736","20001","21782","27381"
"20000001","20000587","20002737","20001","21782","34923"
"20000001","20000587","20002738","20001","21782","39723"
"20000001","20000589","20002676","20001","21784","20142"
"20000001","20000589","20002677","20001","21784","20143"
"20000001","20000589","20002678","20001","21784","20144"
"20000001","20000589","20002732","20001","21784","20198"
"20000001","20000589","20002733","20001","21784","20199"
"20000001","20000636","20002679","20001","21831","20145"
"20000001","20000636","20002734","20001","21831","20200"
"20000001","20000636","20002735","20001","21831","20201"
"20000001","20000636","20002736","20001","21831","27381"
"20000001","20000636","20002737","20001","21831","34923"
"20000001","20000636","20002738","20001","21831","39723"
"20000001","20000636","20002739","20001","21831","47272"
"20000001","20000636","20002740","20001","21831","51683"
"20000001","20000636","20002741","20001","21831","56007"
"20000001","20000636","20002742","20001","21831","58487"
"20000001","20000636","30031936","20001","21831","30031936"
"20000001","20000636","35797618","20001","21831","35797618"
"20000001","20000684","20002673","20001","21879","20139"
"20000001","20000684","20002674","20001","21879","20140"
"20000001","20000684","20002729","20001","21879","20195"
"20000001","20000684","20002730","20001","21879","20196"
"20000001","20001038","20002673","20001","22237","20139"
"20000001","20001038","20002674","20001","22237","20140"
"20000001","20001038","20002675","20001","22237","20141"
"20000001","20001038","20002676","20001","22237","20142"
"20000001","20001038","20002677","20001","22237","20143"
"20000001","20001038","20002678","20001","22237","20144"
"20000001","20001038","20002679","20001","22237","20145"
"20000001","20001038","20002728","20001","22237","20194"
"20000001","20001038","20002729","20001","22237","20195"
"20000001","20001038","20002730","20001","22237","20196"
"20000001","20001038","20002731","20001","22237","20197"
"20000001","20001038","20002732","20001","22237","20198"
"20000001","20001038","20002733","20001","22237","20199"
"20000001","20001038","20002734","20001","22237","20200"
"20000001","20001038","20002735","20001","22237","20201"
"20000001","20001038","20002736","20001","22237","27381"
"20000001","20001038","20002737","20001","22237","34923"
"20000001","20001038","20002738","20001","22237","39723"
"20000001","20001038","20002739","20001","22237","47272"
"20000001","20001038","20002740","20001","22237","51683"
"20000001","20001049","20002677","20001","22248","20143"
"20000001","20001049","20002678","20001","22248","20144"
"20000001","20001049","20002679","20001","22248","20145"
"20000001","20001049","20002733","20001","22248","20199"
"20000001","20001049","20002734","20001","22248","20200"
"20000001","20001049","20002735","20001","22248","20201"
"20000001","20001049","20002736","20001","22248","27381"
"20000001","20001049","20002737","20001","22248","34923"
"20000001","20001049","20002738","20001","22248","39723"
"20000001","20001049","20002739","20001","22248","47272"
"20000001","20001049","20002740","20001","22248","51683"
"20000001","20001162","20002671","20001","22362","20137"
"20000001","20001162","20002672","20001","22362","20138"
"20000001","20001162","20002727","20001","22362","20193"
"20000001","20001716","20002674","20001","20773","20140"
"20000001","20001716","20002676","20001","20773","20142"
