"MAKEID","MODELID","YEARID","TRIMID","ODSMAKEID","ODSMODELID","ODSYEARID","ODSTRIMID"
"20000001","20000187","20002668","20006411","20001","21380","20134","26601"
"20000001","20000187","20002669","20003483","20001","21380","20135","24209"
"20000001","20000187","20002669","20003513","20001","21380","20135","24239"
"20000001","20000187","20002669","20006411","20001","21380","20135","26601"
"20000001","20000187","20002670","20003483","20001","21380","20136","24209"
"20000001","20000187","20002670","20003513","20001","21380","20136","24239"
"20000001","20000187","20002670","20006411","20001","21380","20136","26601"
"20000001","20000187","20002671","20003483","20001","21380","20137","24209"
"20000001","20000187","20002671","20003513","20001","21380","20137","24239"
"20000001","20000187","20002671","20006411","20001","21380","20137","26601"
"20000001","20000187","20002672","20003217","20001","21380","20138","23943"
"20000001","20000187","20002672","20003483","20001","21380","20138","24209"
"20000001","20000187","20002672","20003513","20001","21380","20138","24239"
"20000001","20000187","20002724","20003483","20001","21380","20190","24209"
"20000001","20000187","20002724","20003758","20001","21380","20190","24484"
"20000001","20000187","20002724","20006411","20001","21380","20190","26601"
"20000001","20000187","20002725","20003483","20001","21380","20191","24209"
"20000001","20000187","20002725","20003513","20001","21380","20191","24239"
"20000001","20000187","20002725","20006411","20001","21380","20191","26601"
"20000001","20000187","20002726","20003483","20001","21380","20192","24209"
"20000001","20000187","20002726","20003513","20001","21380","20192","24239"
"20000001","20000187","20002726","20006411","20001","21380","20192","26601"
"20000001","20000187","20002727","20003483","20001","21380","20193","24209"
"20000001","20000187","20002727","20003513","20001","21380","20193","24239"
"20000001","20000187","20002727","20006411","20001","21380","20193","26601"
"20000001","20000187","20002728","20003217","20001","21380","20194","23943"
"20000001","20000187","20002728","20003483","20001","21380","20194","24209"
"20000001","20000187","20002728","20003513","20001","21380","20194","24239"
"20000001","20000187","20002728","20005603","20001","21380","20194","25263"
"20000001","20000228","20002676","20006026","20001","21422","20142","25686"
"20000001","20000228","20002676","20006411","20001","21422","20142","26601"
"20000001","20000228","20002677","20006026","20001","21422","20143","25686"
"20000001","20000228","20002677","20006411","20001","21422","20143","26601"
"20000001","20000228","20002678","20006026","20001","21422","20144","25686"
"20000001","20000228","20002678","20006411","20001","21422","20144","26601"
"20000001","20000228","20002679","20005738","20001","21422","20145","25398"
"20000001","20000228","20002679","20006023","20001","21422","20145","25683"
"20000001","20000228","20002679","20006411","20001","21422","20145","26601"
"20000001","20000228","20002731","20006026","20001","21422","20197","25686"
"20000001","20000228","20002731","20006411","20001","21422","20197","26601"
"20000001","20000228","20002732","20006026","20001","21422","20198","25686"
"20000001","20000228","20002732","20006411","20001","21422","20198","26601"
"20000001","20000228","20002733","20006026","20001","21422","20199","25686"
"20000001","20000228","20002733","20006411","20001","21422","20199","26601"
"20000001","20000228","20002734","20005738","20001","21422","20200","25398"
"20000001","20000228","20002734","20006023","20001","21422","20200","25683"
"20000001","20000228","20002734","20006411","20001","21422","20200","26601"
"20000001","20000228","20002735","20005738","20001","21422","20201","25398"
"20000001","20000228","20002735","20006023","20001","21422","20201","25683"
"20000001","20000228","20002735","20006411","20001","21422","20201","26601"
"20000001","20000228","20002736","20006411","20001","21422","27381","26601"
"20000001","20000228","20002736","20006614","20001","21422","27381","35043"
"20000001","20000228","20002736","20006615","20001","21422","27381","35044"
"20000001","20000228","20002736","20006616","20001","21422","27381","35045"
"20000001","20000228","20002736","20006617","20001","21422","27381","35046"
"20000001","20000228","20002736","20006618","20001","21422","27381","35047"
"20000001","20000228","20002736","20006619","20001","21422","27381","35048"
"20000001","20000228","20002737","20006617","20001","21422","34923","35046"
"20000001","20000228","20002737","20006618","20001","21422","34923","35047"
"20000001","20000228","20002737","20006619","20001","21422","34923","35048"
"20000001","20000228","20002738","20006617","20001","21422","39723","35046"
"20000001","20000228","20002738","20006618","20001","21422","39723","35047"
"20000001","20000228","20002738","20006619","20001","21422","39723","35048"
"20000001","20000228","20002739","20006617","20001","21422","47272","35046"
"20000001","20000228","20002739","20006618","20001","21422","47272","35047"
"20000001","20000228","20002739","20006619","20001","21422","47272","35048"
"20000001","20000228","20002740","20006617","20001","21422","51683","35046"
"20000001","20000228","20002740","20006664","20001","21422","51683","35943"
"20000001","20000228","20002740","20007032","20001","21422","51683","53267"
"20000001","20000228","20002740","20007033","20001","21422","51683","53268"
"20000001","20000228","20002741","20006664","20001","21422","56007","35943"
"20000001","20000228","20002741","20007032","20001","21422","56007","53267"
"20000001","20000228","20002741","20007033","20001","21422","56007","53268"
"20000001","20000228","20002741","20007332","20001","21422","56007","58807"
"20000001","20000228","20002742","20006664","20001","21422","58487","35943"
"20000001","20000228","20002742","35037247","20001","21422","58487","35037247"
"20000001","20000228","20002742","35037248","20001","21422","58487","35037248"
"20000001","20000228","20002742","35037257","20001","21422","58487","35037257"
"20000001","20000228","20002742","35037351","20001","21422","58487","35037351"
"20000001","20000228","30031936","20004545","20001","21422","30031936","23139"
"20000001","20000228","30031936","20006664","20001","21422","30031936","35943"
"20000001","20000228","30031936","35037247","20001","21422","30031936","35037247"
"20000001","20000228","30031936","35037248","20001","21422","30031936","35037248"
"20000001","20000228","30031936","35037257","20001","21422","30031936","35037257"
"20000001","20000228","30031936","35037351","20001","21422","30031936","35037351"
"20000001","20000491","20002671","20006411","20001","21685","20137","26601"
"20000001","20000491","20002672","20006411","20001","21685","20138","26601"
"20000001","20000491","20002673","20005973","20001","21685","20139","25633"
"20000001","20000491","20002673","20006411","20001","21685","20139","26601"
"20000001","20000491","20002674","20005973","20001","21685","20140","25633"
"20000001","20000491","20002674","20006411","20001","21685","20140","26601"
"20000001","20000491","20002675","20005973","20001","21685","20141","25633"
"20000001","20000491","20002675","20006411","20001","21685","20141","26601"
"20000001","20000491","20002676","20005973","20001","21685","20142","25633"
"20000001","20000491","20002676","20006411","20001","21685","20142","26601"
"20000001","20000491","20002677","20005973","20001","21685","20143","25633"
"20000001","20000491","20002677","20006411","20001","21685","20143","26601"
"20000001","20000491","20002726","20006411","20001","21685","20192","26601"
"20000001","20000491","20002727","20006411","20001","21685","20193","26601"
"20000001","20000491","20002728","20005973","20001","21685","20194","25633"
"20000001","20000491","20002729","20005973","20001","21685","20195","25633"
"20000001","20000491","20002729","20006411","20001","21685","20195","26601"
"20000001","20000491","20002730","20005973","20001","21685","20196","25633"
"20000001","20000491","20002730","20006411","20001","21685","20196","26601"
"20000001","20000491","20002731","20005973","20001","21685","20197","25633"
"20000001","20000491","20002731","20006411","20001","21685","20197","26601"
"20000001","20000491","20002732","20005973","20001","21685","20198","25633"
"20000001","20000491","20002732","20006411","20001","21685","20198","26601"
"20000001","20000491","20002733","20006411","20001","21685","20199","26601"
"20000001","20000491","30031936","20004545","20001","21685","30031936","23139"
"20000001","20000587","20002673","20004165","20001","21782","20139","22759"
"20000001","20000587","20002674","20004165","20001","21782","20140","22759"
"20000001","20000587","20002674","20004184","20001","21782","20140","22778"
"20000001","20000587","20002675","20004165","20001","21782","20141","22759"
"20000001","20000587","20002676","20004165","20001","21782","20142","22759"
"20000001","20000587","20002677","20004165","20001","21782","20143","22759"
"20000001","20000587","20002678","20006411","20001","21782","20144","26601"
"20000001","20000587","20002679","20004165","20001","21782","20145","22759"
"20000001","20000587","20002729","20004165","20001","21782","20195","22759"
"20000001","20000587","20002730","20004165","20001","21782","20196","22759"
"20000001","20000587","20002731","20004165","20001","21782","20197","22759"
"20000001","20000587","20002732","20004165","20001","21782","20198","22759"
"20000001","20000587","20002733","20004165","20001","21782","20199","22759"
"20000001","20000587","20002734","20006411","20001","21782","20200","26601"
"20000001","20000587","20002735","20004187","20001","21782","20201","22781"
"20000001","20000587","20002735","20006023","20001","21782","20201","25683"
"20000001","20000587","20002735","20006411","20001","21782","20201","26601"
"20000001","20000587","20002735","20006627","20001","21782","20201","35263"
"20000001","20000587","20002736","20004187","20001","21782","27381","22781"
