"MODELID","ODSID","NAME"
"20000109","21301","Karmann Ghia"
"20000110","21302","Interceptor"
"20000111","21303","International"
"20000112","21304","Intrigue"
"20000113","21305","Ion"
"20000114","21306","Islero"
"20000115","21307","Italia"
"20000116","21308","Kingswood"
"20000117","21309","J20"
"20000118","21310","L"
"20000119","21311","J30"
"20000120","21312","L-111"
"20000121","21313","Jarama"
"20000122","21314","L-120"
"20000123","21315","Jarama 400 GTS"
"20000124","21316","L-122"
"20000125","21317","Jeepster"
"20000126","21318","Jensen-Healey"
"20000127","21319","L-151"
"20000128","21320","Jet Liner"
"20000129","21321","L6"
"20000130","21322","Jetstar"
"20000131","21323","Jetstar I"
"20000132","21324","Jimmy"
"20000133","21325","Justy"
"20000134","21326","K-1"
"20000135","21327","LHS"
"20000136","21328","K-2"
"20000137","21329","LM-120"
"20000138","21330","K-3M"
"20000139","21331","LM-122"
"20000140","21332","KB-1M"
"20000141","21333","LN7"
"20000142","21334","KB-3"
"20000143","21335","LR3"
"20000144","21336","KL"
"20000145","21337","LS 400"
"20000146","21338","KM-3"
"20000147","21339","LS 460"
"20000148","21340","Kapitan"
"20000149","21341","LSS"
"20000150","21342","Khamsin"
"20000151","21343","Kyalami"
"20000152","21344","L-110"
"20000153","21345","L-112"
"20000154","21346","L-121"
"20000155","21347","LTD Brougham"
"20000156","21348","L-150"
"20000157","21349","LTD II Brougham"
"20000158","21350","L-153"
"20000159","21351","LW"
"20000160","21352","L7"
"20000161","21353","LX 470"
"20000162","21354","LM"
"20000163","21355","LaCrosse"
"20000164","21356","LM-121"
"20000165","21357","LM-150"
"20000166","21358","Lafayette 400"
"20000167","21360","LR2"
"20000168","21361","Lancer"
"20000169","21362","LS"
"20000170","21363","LS 430"
"20000171","21364","LS 600h L"
"20000172","21365","LTD"
"20000173","21366","LTD II"
"20000174","21367","LTD Landau"
"20000175","21368","Lancer Sportback"
"20000176","21369","LX 450"
"20000177","21370","Lanos"
"20000178","21371","LX 570"
"20000179","21372","Laser"
"20000180","21373","Lafayette"
"20000181","21374","LeBaron"
"20000182","21375","Lagonda"
"20000183","21376","LeMans"
"20000184","21377","Laguna S-3"
"20000185","21378","Legacy"
"20000186","21379","Lancer Evolution"
"20000187","21380","Legend"
"20000188","21381","Land Cruiser"
"20000189","21382","Liberte"
"20000190","21383","Light Six"
"20000191","21384","Loyale"
"20000192","21385","Lumina"
"20000193","21386","Luv"
"20000194","21387","Lark"
"20000195","21388","M"
"20000196","21389","Late Special"
"20000197","21390","M-3"
"20000198","21391","LeCar"
"20000199","21392","M3"
"20000200","21393","LeSabre"
"20000201","21394","M35"
"20000202","21395","Leganza"
"20000203","21396","M5"
"20000204","21397","Legere"
