"TRIMID","ODSID","NAME"
"20002743","23469","Custom Deluxe"
"20002744","23470","Cruiser Special Edition D"
"20002745","23471","Custom Flareside"
"20002746","23472","Custom 455"
"20002747","23473","Custom Hard Top"
"20002748","23474","Custom L"
"20002749","23475","Custom Crew Cab DRW"
"20002750","23476","Custom DRW"
"20002751","23477","Custom Pickup"
"20002752","23478","Custom Deluxe Tone"
"20002753","23479","Custom Soft Top"
"20002754","23480","Custom H/D"
"20002755","23481","Custom SuperCab"
"20002756","23482","Custom Heavy Duty"
"20002757","23483","Custom Line"
"20002758","23484","Custom Series"
"20002759","23485","Custom Super"
"20002760","23486","Custom SuperCab H/D"
"20002761","23487","Custom SuperCab DRW"
"20002762","23488","Cyclone"
"20002763","23489","D"
"20002764","23490","Cutlass"
"20002765","23491","Cyclone GT"
"20002766","23492","D 2.5 Turbo"
"20002767","23493","D 2.5"
"20002768","23494","D100"
"20002769","23495","D-T"
"20002770","23496","D14"
"20002771","23497","D11"
"20002772","23498","D150 Club Cab"
"20002773","23499","D150"
"20002774","23500","D17"
"20002775","23501","D150 S"
"20002776","23502","D22"
"20002777","23503","D250"
"20002778","23504","D350"
"20002779","23505","DB Body"
"20002780","23506","DHS"
"20002781","23507","D19"
"20002782","23508","D24"
"20002783","23509","DL 4WD"
"20002784","23510","D250 Club Cab"
"20002785","23511","DL Turbo"
"20002786","23512","D350 Club Cab"
"20002787","23513","DLX Hard Top"
"20002788","23514","DE"
"20002789","23515","DPL"
"20002790","23516","DRW Custom"
"20002791","23517","DL"
"20002792","23518","DRW Lariat"
"20002793","23519","DL Sportswagon"
"20002794","23520","DLX"
"20002795","23521","DRW XL"
"20002796","23522","DM Body"
"20002797","23523","DRW"
"20002798","23524","DRW Eddie Bauer"
"20002799","23525","DRW Special"
"20002800","23526","DRW XLT"
"20002801","23527","DS"
"20002802","23528","DS Cab Plus 4"
"20002803","23529","DRW XLT Lariat"
"20002804","23530","DX"
"20002805","23531","DS Cab Plus"
"20002806","23532","DTS"
"20002807","23533","DX 4WD"
"20002808","23534","DX One Ton"
"20002809","23535","DX 1995.5"
"20002810","23536","DX Xtracab"
"20002811","23537","DX All-Trac"
"20002812","23538","Daytona R/T"
"20002813","23539","DX V6"
"20002814","23540","Deluxe 120"
"20002815","23541","Daytona"
"20002816","23542","Deluxe 4WD"
"20002817","23543","Deluxe All-Trac"
"20002818","23544","Deluxe Hard Top"
"20002819","23545","Deluxe Long Bed"
"20002820","23546","Deluxe"
"20002821","23547","Deluxe Soft Top"
"20002822","23548","Deluxe 1987.5"
"20002823","23549","Deluxe Style"
